"gene","module","mm"
"LRRC1","yellow",0.877418393633459
"SLCO1A2","yellow",0.846959079027998
"CCP110","yellow",0.817594340460626
"CNTNAP2","yellow",0.812083222172643
"PRKCE","yellow",0.808427143640742
"EHBP1","yellow",0.80830399265206
"PLD5","yellow",0.80553895871544
"SLC39A11","yellow",0.790166738518999
"BCL2","yellow",0.78924283909178
"RALGAPA2","yellow",0.783876750192436
"CHDH","yellow",0.773302362837166
"MAP4K5","yellow",0.773244787935179
"NCAM2","yellow",0.76981391562493
"PPM1K","yellow",0.763972735981625
"DOCK5","yellow",0.759226339442584
"ABCC5","yellow",0.757590795658033
"BBS2","yellow",0.755803849894496
"SLC44A1","yellow",0.746986801204203
"WWOX","yellow",0.745626601276992
"NCAM1","yellow",0.730909830011276
"BBS9","yellow",0.72979884558482
"DIP2B","yellow",0.728197897311208
"RFTN2","yellow",0.726444789552572
"ITPR1","yellow",0.7212597395429
"PEX5L","yellow",0.715882635868945
"FRYL","yellow",0.712732723374676
"PDS5B","yellow",0.712272971861026
"P3H2","yellow",0.711148075782626
"FANCC","yellow",0.710139853567558
"ECE1","yellow",0.703339704781937
"DIP2C","yellow",0.701573807472353
"PAPOLA","yellow",0.700563448156394
"AC106869.1","yellow",0.699163383128549
"KCNMB4","yellow",0.697944805643014
"KIAA1147","yellow",0.697141043579239
"CADM1","yellow",0.696669834960819
"KIRREL3","yellow",0.695007973233645
"BCL2L1","yellow",0.694851257664245
"ATG4C","yellow",0.694519170710029
"PHF21A","yellow",0.694257163124119
"STARD13","yellow",0.689743988365828
"MARCH6","yellow",0.687318210543838
"NBEA","yellow",0.686585089338812
"MAP2K4","yellow",0.684859821800647
"PGBD5","yellow",0.681736203573911
"DEPTOR","yellow",0.680777555222327
"ARMC8","yellow",0.680629229420772
"PTPN11","yellow",0.677975321183953
"IKZF2","yellow",0.672057417521975
"RNF144A","yellow",0.672047771395365
"SIK2","yellow",0.671489328111248
"MYRIP","yellow",0.66908741371889
"ATXN1","yellow",0.666004559413595
"LGR4","yellow",0.66424164456093
"FOXP1","yellow",0.663994083438489
"EFHD1","yellow",0.663221976253205
"GTF2H2","yellow",0.66099797691045
"KANSL1L","yellow",0.659813585540706
"ELMO1","yellow",0.658990292237893
"SNX19","yellow",0.65802311905028
"STAG1","yellow",0.655528737960324
"AC016597.1","yellow",0.652873381123311
"TPCN1","yellow",0.650670173827898
"P2RX7","yellow",0.650490079674491
"PNPLA7","yellow",0.649768822736098
"IRAK2","yellow",0.644880133577087
"EGLN1","yellow",0.642467980998602
"RFX3","yellow",0.641041622703701
"CREBBP","yellow",0.639698319825356
"FAM13A","yellow",0.633920537045366
"TIAM2","yellow",0.631784027298536
"CRYBG3","yellow",0.630245264940063
"MAN2A1","yellow",0.629431369858399
"HBP1","yellow",0.629242653747668
"VEZF1","yellow",0.627606349442132
"NDUFAF6","yellow",0.62396964106688
"INSR","yellow",0.622085822524941
"CNOT2","yellow",0.621752442913885
"BANP","yellow",0.621566828486531
"SGCD","yellow",0.61910262733998
"ZNF33A","yellow",0.61846506936065
"GPHN","yellow",0.616571680754927
"PPP1R9A","yellow",0.615761323088971
"TSC22D3","yellow",0.614818481599998
"FGF1","yellow",0.614240887274273
"NTRK2","yellow",0.612988775219467
"FAM13B","yellow",0.612700699251981
"CASC4","yellow",0.611815242982523
"MBNL1","yellow",0.611543407750356
