"gene","module","mm"
"FTL","yellow",0.694403110562753
"RPL10","yellow",0.673957390370682
"RPLP1","yellow",0.660678389088031
"RPL13","yellow",0.640169455194021
"RPL41","yellow",0.635204650581316
"RPL19","yellow",0.631762219039642
"RPL11","yellow",0.627981158209179
"TMSB4X","yellow",0.611253553458804
"APOE","yellow",0.609252682747975
"RPS19","yellow",0.601210307675377
"RPS15","yellow",0.599895573474331
"RPLP2","yellow",0.588830419266605
"RPS14","yellow",0.585658124507008
"RPL32","yellow",0.580087616751777
"RPS3","yellow",0.578779666798294
"RPS2","yellow",0.575219944948297
"RPS18","yellow",0.573930716293194
"TMSB10","yellow",0.573146070475013
"RPL8","yellow",0.571606085445153
"RPS4X","yellow",0.568771464358727
"PLEKHA7","yellow",0.568511140723069
"RPL28","yellow",0.562575755917977
"FAU","yellow",0.559451900907858
"RPS11","yellow",0.556545265018887
"RPL29","yellow",0.555314938942337
"FTH1","yellow",0.553933681545874
"EEF1A1","yellow",0.55316537767756
"RPL27A","yellow",0.548274015776122
"C1QB","yellow",0.544678379358011
"RPS23","yellow",0.5439186919921
"RPL7A","yellow",0.54340813839073
"RPL13A","yellow",0.541454486524663
"RPL3","yellow",0.541358409975786
"RPL18","yellow",0.540385778900961
"TPT1","yellow",0.536132172637874
"C1QC","yellow",0.532947886581945
"RPS24","yellow",0.532597531454686
"RPL14","yellow",0.531064988023394
"RPS27A","yellow",0.52949509013276
"RPL15","yellow",0.525356313706707
"RPS25","yellow",0.525231817884887
"RPL23A","yellow",0.522498420097221
"RPS6","yellow",0.514726194982059
"RPS9","yellow",0.513261262903943
"TXNRD1","yellow",0.508943730391411
"RPL30","yellow",0.507830112643249
"RPS12","yellow",0.505361114777372
"HLA-DRA","yellow",0.502674728790738
"APOC1","yellow",0.502277661440996
"RPS8","yellow",0.50113614057582
"RPS27","yellow",0.499761445185128
"B2M","yellow",0.490988836703062
"RPL37A","yellow",0.48943175935839
"C1QA","yellow",0.481878266903315
"CD14","yellow",0.480071681359448
"S100A11","yellow",0.477270091798919
"RPS16","yellow",0.474016845520904
"BAIAP2L1","yellow",0.472146966377369
"APOO","yellow",0.469522477568687
"UBA52","yellow",0.466942052458329
"ACTB","yellow",0.466027684657679
"RPS7","yellow",0.464641718806727
"RPL35","yellow",0.462726010951099
"RACK1","yellow",0.45971720087985
"RPL23","yellow",0.459688079466907
"RPL36","yellow",0.45920693339091
"RPL10A","yellow",0.457160481050396
"HLA-DPA1","yellow",0.455753394361453
"OOEP","yellow",0.454153684745348
"CD81","yellow",0.453603701231831
"CD63","yellow",0.448277215229695
"CYBA","yellow",0.448150833108593
"AIF1","yellow",0.446144749436161
"RPL38","yellow",0.441826096645721
"RPS29","yellow",0.440487674821419
"EIF1","yellow",0.438139970102901
"CD74","yellow",0.43351101988019
"RPL35A","yellow",0.433283380491505
"RPS20","yellow",0.423266666365275
"CD68","yellow",0.420415205183821
"CST3","yellow",0.418107168332844
"RPL34","yellow",0.417158976380684
"TYROBP","yellow",0.416618486646305
"XPO5","yellow",0.415698484481798
"RPL27","yellow",0.412049236205011
"EEF1B2","yellow",0.411993519473006
"RPS13","yellow",0.410947293569802
"RPS5","yellow",0.410204075455216
"HLA-DRB1","yellow",0.409972214568655
"RPL6","yellow",0.409233319813821
"NACA","yellow",0.408816299535407
"SERF2","yellow",0.406646214738568
"RPL7","yellow",0.404607151780184
"ATP5F1E","yellow",0.398176950063296
"PTMA","yellow",0.39813216832783
"AMBRA1","yellow",0.395497527522228
"RPS28","yellow",0.389889181496933
"ARMC9","yellow",0.389276053380348
"ZNF90","yellow",0.387887647752894
"BST2","yellow",0.382291458895119
"PFDN5","yellow",0.380736700628947
"RPL24","yellow",0.379519663653814
"HLA-B","yellow",0.379127227799896
"RPSA","yellow",0.376899436200998
"RPL36AL","yellow",0.375224567236687
"RPL5","yellow",0.370672519076529
"MAMDC2","yellow",0.370369323363711
"RPL37","yellow",0.367320401799116
"RPLP0","yellow",0.365576294495246
"CLIC1","yellow",0.352523024369639
"HLA-A","yellow",0.350169642060228
"TOMM7","yellow",0.347666326636515
"HLA-DPB1","yellow",0.346578716272649
"RPL21","yellow",0.34475445642742
"PPIB","yellow",0.343590356871922
"CALR","yellow",0.341170185790963
"PSAP","yellow",0.33931651643203
"YBX1","yellow",0.33342394463728
"TREM2","yellow",0.325897612853683
"HLA-C","yellow",0.32575209797601
"NBEAL1","yellow",0.323734628795498
"GSTP1","yellow",0.321305472843069
"LAPTM5","yellow",0.319267519241066
"ATP5MC2","yellow",0.318232480230438
"HSPA5","yellow",0.318208535117406
"HSP90B1","yellow",0.316264909149179
"CSTB","yellow",0.313618195384789
"RPS3A","yellow",0.309983523521099
"HLA-DRB5","yellow",0.309021098498172
"TSPO","yellow",0.301872071003637
"RPL4","yellow",0.301177803444099
"PFN1","yellow",0.300257543840156
"EEF1D","yellow",0.300159646943611
"GPX4","yellow",0.297409929456697
"SPP1","yellow",0.294705730106338
"PLCG2","yellow",0.291627328422151
"PRDX1","yellow",0.291185294635125
"FCGR1A","yellow",0.290518610849824
"GRN","yellow",0.286482146344165
"ITGB2","yellow",0.284955741435328
"SLC25A6","yellow",0.284388843555139
"ITM2B","yellow",0.283800147195488
"NPC2","yellow",0.281898028163876
"FCGR3A","yellow",0.279807305634649
"BDNF-AS","yellow",0.272094973099639
"ATP6V0B","yellow",0.271554313122699
"COX4I1","yellow",0.269425551844954
"UQCRB","yellow",0.265539604935957
"FCER1G","yellow",0.263714681132134
"HLA-E","yellow",0.262258070891316
"BTF3","yellow",0.258735408186871
"CEBPB","yellow",0.255460118737455
"H3F3B","yellow",0.255239427729834
"RPL12","yellow",0.25361511423426
"AC010894.3","yellow",0.252401021740627
"CFL1","yellow",0.252127460642741
"EEF2","yellow",0.252094052366544
"UQCR10","yellow",0.248111313379497
"COX7C","yellow",0.247918167291887
"SH3BGRL3","yellow",0.247444294308142
"SERP1","yellow",0.245267882855793
"MYL6","yellow",0.244737364634432
"BRI3","yellow",0.24338089788732
"TMBIM6","yellow",0.242472008257902
"CHCHD10","yellow",0.240327262581304
"CTSL","yellow",0.239533558241683
"MYDGF","yellow",0.239137255113714
"FPR1","yellow",0.238352640252791
"CTSZ","yellow",0.237888869436543
"RPL31","yellow",0.237671472544836
"PABPC1","yellow",0.236302560958435
"ARPC1B","yellow",0.234921886521658
"ATP6V1F","yellow",0.224801296733614
"LINC00486","yellow",0.222319841761894
"CHCHD3","yellow",0.220899597026466
"CEBPD","yellow",0.219232646922995
"HAMP","yellow",0.21874283886726
"LAMTOR4","yellow",0.212365232407821
"CD37","yellow",0.211534106452622
"STEAP1B","yellow",0.209729588610907
"AP003086.2","yellow",0.209174635050301
"FCGRT","yellow",0.201284753018439
"TMEM176B","yellow",0.20008429749038
"TMED9","yellow",0.199480717132198
"ATP5MG","yellow",0.198355871149655
"KCTD12","yellow",0.197999033687578
"GPR34","yellow",0.197520417424309
"BAX","yellow",0.195335233683435
"BRK1","yellow",0.195251088149381
"C9orf84","yellow",0.19518608261055
"MARCKS","yellow",0.194048180435201
"LRP4","yellow",0.191896597348799
"HSPA1A","yellow",0.19131713126096
"PCBP1","yellow",0.190198723099512
"MT2A","yellow",0.189479500011669
"SERPINA1","yellow",0.188608983193016
"C3AR1","yellow",0.188370880695711
"CNPY3","yellow",0.185612095735606
"NPM1","yellow",0.185449043877003
"PPT1","yellow",0.185126222747427
"CTSB","yellow",0.18405153464124
"AC011933.4","yellow",0.183670727947605
"ERP29","yellow",0.183500358047033
"ARPC3","yellow",0.183394631372644
"PSMA7","yellow",0.1826375651251
"BHLHE41","yellow",0.181667054466651
"ANKUB1","yellow",0.179496118229971
"EDF1","yellow",0.178914414786336
"HIST1H4C","yellow",0.177938777717434
"UBXN1","yellow",0.177735987777818
"IGSF6","yellow",0.176770699286191
"GPSM3","yellow",0.175374526775694
"P4HB","yellow",0.175138757570144
"AC008957.2","yellow",0.174873080358326
"FXYD5","yellow",0.173945711459826
"SYNGR2","yellow",0.173715324008569
"CXCL16","yellow",0.173575486994105
"LINGO1","yellow",0.173124770515508
"TMA7","yellow",0.172759681252155
"ALOX5AP","yellow",0.172397483585862
"ARPC5","yellow",0.172072769227524
"SLC3A2","yellow",0.170334427838634
"LAMP1","yellow",0.17027389582685
"ATP5ME","yellow",0.17021954265088
"PLD4","yellow",0.169337024370194
"TPI1","yellow",0.168320930476291
"CORO1A","yellow",0.168059103184781
"LTC4S","yellow",0.165597965508704
"ARL6IP4","yellow",0.165457258782015
"TALDO1","yellow",0.164937700019268
"ATP6AP1","yellow",0.164574377674026
"BCAP31","yellow",0.164079608477239
"NSA2","yellow",0.163319913958508
"NINJ1","yellow",0.162615668439972
"SELENOS","yellow",0.162473718245323
"TMEM219","yellow",0.161862305605491
"LST1","yellow",0.161576789400003
"TKT","yellow",0.159435997397458
"SERBP1","yellow",0.159429619749883
"SLC1A5","yellow",0.157940161135019
"BTG1","yellow",0.157393656408502
"HLA-DQB1","yellow",0.156946904064662
"RPS27L","yellow",0.15688600826034
"PARK7","yellow",0.155993773073227
"GUK1","yellow",0.154853823305828
"FGL2","yellow",0.154148029272484
"REX1BD","yellow",0.153840039130598
"HERPUD1","yellow",0.152061760500543
"UQCRH","yellow",0.150224023662972
"M6PR","yellow",0.150140971536377
"MLEC","yellow",0.149570717637065
