"gene","module","mm"
"ANLN","yellow",0.904071170585114
"ERBIN","yellow",0.903243155395632
"SLC38A2","yellow",0.897479389336863
"SEPT8","yellow",0.888883446960858
"MID1IP1","yellow",0.881925668482006
"CCP110","yellow",0.876784509982969
"METTL7A","yellow",0.872540677492435
"RGCC","yellow",0.869322001324718
"AC016831.7","yellow",0.868469005980573
"CDKL1","yellow",0.867594543937116
"PNISR","yellow",0.866329143593216
"FKBP5","yellow",0.861057674777307
"CLMN","yellow",0.851471404465753
"ADIPOR2","yellow",0.846581044654833
"NCAM1","yellow",0.843095870476199
"PPA1","yellow",0.832876937615523
"ANAPC16","yellow",0.828519168287166
"AMER2","yellow",0.822758443509393
"ZBTB16","yellow",0.81815476928629
"SLC39A11","yellow",0.817684297587169
"USP31","yellow",0.80925898820591
"DNAJB6","yellow",0.795137962903806
"PDK4","yellow",0.793252705199957
"LINC00513","yellow",0.783570420941391
"HP1BP3","yellow",0.782375415648172
"LAMP2","yellow",0.781063392918627
"MKLN1","yellow",0.778293717999388
"NFKBIA","yellow",0.775484198335938
"PPP4R2","yellow",0.769822210974505
"CHDH","yellow",0.765791410566983
"FRYL","yellow",0.761439624571729
"FANCC","yellow",0.758185174321949
"DIP2C","yellow",0.757225462190156
"SLC44A1","yellow",0.757009665373719
"SEM1","yellow",0.752459593023709
"SORT1","yellow",0.750984121370118
"ELMO1","yellow",0.750813736640287
"SOWAHA","yellow",0.750550456710518
"MAP2K4","yellow",0.749238469592772
"CPQ","yellow",0.748702325186039
"LRRC1","yellow",0.745315253102909
"LIFR","yellow",0.742566224540451
"FAM13B","yellow",0.737001012089559
"ITPR1","yellow",0.736801389155219
"NUFIP2","yellow",0.732763115189366
"MAP4K5","yellow",0.730738009901219
"CREBRF","yellow",0.729922466681509
"CA2","yellow",0.729245919399048
"RBM48","yellow",0.727004032811751
"AZGP1","yellow",0.724081385337136
"TLE4","yellow",0.722699022821754
"PEX5L","yellow",0.722448571417747
"ATG4B","yellow",0.715927565831128
"SRRM2","yellow",0.715872926920504
"BBS9","yellow",0.715169025104033
"AC009063.2","yellow",0.714610910019074
"PHYHIPL","yellow",0.709651073298922
"DOCK5","yellow",0.709360430709086
"FXR1","yellow",0.707321835680037
"APOLD1","yellow",0.706622316988227
"JADE2","yellow",0.705365698338352
"PAPOLA","yellow",0.704249281434317
"NDRG1","yellow",0.703751522225784
"CLCN4","yellow",0.69861820627027
"CAMK2N1","yellow",0.697374578917309
"ZNF652","yellow",0.697048566506103
"LRP4","yellow",0.690772790616993
"LHFPL2","yellow",0.689109589859447
"KLF15","yellow",0.688791022878918
"ZSWIM6","yellow",0.685860069723161
"ATP1B3","yellow",0.6852149235133
"ADSS","yellow",0.684411793203153
"CAB39L","yellow",0.68334476523946
"COPA","yellow",0.682763972369125
"PDS5B","yellow",0.679484408366739
"ADAM12","yellow",0.679057993640732
"AL645465.1","yellow",0.674231583488531
"PTGES3","yellow",0.671451558748446
"AC006148.1","yellow",0.671276174952649
"PNRC1","yellow",0.667089758432517
"ZNF706","yellow",0.667041180986643
"KLHL21","yellow",0.666593702200885
"LGR4","yellow",0.665999832320084
"KCNMB4","yellow",0.664505194756113
"ACER3","yellow",0.66389606315102
"FGF1","yellow",0.662901085210774
"IGF1R","yellow",0.662499757239422
"BBS2","yellow",0.661861961256147
"PRKCE","yellow",0.661220005945029
"NAP1L4","yellow",0.660631433530603
"NDRG2","yellow",0.657959752982218
"IRAK2","yellow",0.655311798586277
"PNPT1","yellow",0.654895514939981
"RAD21","yellow",0.650926939878635
"CLIP4","yellow",0.648558962364361
"GTF2H2","yellow",0.646170618452074
"SLC22A23","yellow",0.640528426566881
"HMGN3","yellow",0.640301897302744
"NEAT1","yellow",0.639579072563459
"CNOT2","yellow",0.637624501906667
"ARRDC2","yellow",0.63414491806914
"CPEB3","yellow",0.633546688879896
"CDH20","yellow",0.633075883262684
"ZNF365","yellow",0.631613663877659
"ANKRD12","yellow",0.63096388414165
"DST","yellow",0.629365368078814
"DDX3Y","yellow",0.629361033437017
"SGK3","yellow",0.629117834086776
"JAKMIP3","yellow",0.627230247495398
"ABCC5","yellow",0.624682337557274
"MARCH6","yellow",0.624416939677298
"BCL2","yellow",0.622801600855169
"BCL2L1","yellow",0.617898741390217
"AHSA1","yellow",0.617443546458142
"PACRG-AS3","yellow",0.616355205100638
"SGK1","yellow",0.613845964699137
"KLF9","yellow",0.613303847509262
"WWOX","yellow",0.612129830487794
"HOOK2","yellow",0.610906192721496
"PPP2R3C","yellow",0.609255320842841
"CHORDC1","yellow",0.607831683419035
"CADM1","yellow",0.601817197518097
"CTBP2","yellow",0.601601673778341
"LSS","yellow",0.598674028918843
"ZBTB1","yellow",0.598130018169881
"ADAM10","yellow",0.598046248303018
"MYRIP","yellow",0.597183448050851
"PURA","yellow",0.596827334706291
"PAK2","yellow",0.596000389524587
