"iteration","cell_type","subcluster","module","module_size","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"T1","Astrocytes","8","black",185,TRUE,0.0159071115452983,242,143,11,0.0769230769230769,0.0454545454545455,"GO:0051056","GO:BP","regulation of small GTPase mediated signal transduction",16178,13905,"GO:0007264, GO:1902531"
"T1","Astrocytes","8","black",185,TRUE,0.0245248336585827,2,154,2,0.012987012987013,1,"GO:0044300","GO:CC","cerebellar mossy fiber",16860,2053,"GO:0030424"
"T1","Astrocytes","8","black",185,TRUE,0.0497325443046027,2,153,2,0.0130718954248366,1,"GO:0051538","GO:MF","3 iron, 4 sulfur cluster binding",17314,8008,"GO:0051536"
"T1","Astrocytes","8","blue",486,TRUE,5.12559816181093e-34,10755,440,395,0.897727272727273,0.0367271036727104,"GO:0005737","GO:CC","cytoplasm",16860,309,"GO:0005622, GO:0110165"
"T1","Astrocytes","8","blue",486,TRUE,5.02227613201e-24,3566,440,191,0.434090909090909,0.0535614133482894,"GO:0031982","GO:CC","vesicle",16860,1228,"GO:0043227"
"T1","Astrocytes","8","blue",486,TRUE,3.93800711375923e-23,2131,440,138,0.313636363636364,0.0647583294228062,"GO:1903561","GO:CC","extracellular vesicle",16860,3690,"GO:0031982, GO:0065010"
"T1","Astrocytes","8","blue",486,TRUE,4.125212392838e-23,2132,440,138,0.313636363636364,0.0647279549718574,"GO:0065010","GO:CC","extracellular membrane-bounded organelle",16860,2398,"GO:0043227, GO:0043230"
"T1","Astrocytes","8","blue",486,TRUE,4.125212392838e-23,2132,440,138,0.313636363636364,0.0647279549718574,"GO:0043230","GO:CC","extracellular organelle",16860,1882,"GO:0005576, GO:0043226"
"T1","Astrocytes","8","blue",486,TRUE,4.49701101689034e-23,2108,440,137,0.311363636363636,0.0649905123339658,"GO:0070062","GO:CC","extracellular exosome",16860,2418,"GO:0005615, GO:1903561"
"T1","Astrocytes","8","blue",486,TRUE,1.01629589721501e-22,265,268,49,0.182835820895522,0.184905660377358,"KEGG:05012","KEGG","Parkinson disease",8484,412,"KEGG:00000"
"T1","Astrocytes","8","blue",486,TRUE,6.06165385739744e-20,134,268,34,0.126865671641791,0.253731343283582,"KEGG:00190","KEGG","Oxidative phosphorylation",8484,18,"KEGG:00000"
"T1","Astrocytes","8","blue",486,TRUE,2.58583931389205e-19,474,268,60,0.223880597014925,0.126582278481013,"KEGG:05022","KEGG","Pathways of neurodegeneration - multiple diseases",8484,417,"KEGG:00000"
"T1","Astrocytes","8","blue",486,TRUE,4.63694552648501e-19,305,268,48,0.17910447761194,0.157377049180328,"KEGG:05016","KEGG","Huntington disease",8484,414,"KEGG:00000"
"T1","Astrocytes","8","blue",486,TRUE,6.86680257172366e-19,363,268,52,0.194029850746269,0.143250688705234,"KEGG:05014","KEGG","Amyotrophic lateral sclerosis",8484,413,"KEGG:00000"
"T1","Astrocytes","8","blue",486,TRUE,3.18906011785676e-18,2744,431,154,0.357308584686775,0.0561224489795918,"GO:0051641","GO:BP","cellular localization",16178,14309,"GO:0009987, GO:0051179"
"T1","Astrocytes","8","blue",486,TRUE,7.13407349726635e-18,271,268,44,0.164179104477612,0.162361623616236,"KEGG:05020","KEGG","Prion disease",8484,416,"KEGG:00000"
"T1","Astrocytes","8","blue",486,TRUE,5.95768777510335e-17,624,339,67,0.1976401179941,0.107371794871795,"REAC:R-HSA-199991","REAC","Membrane Trafficking",10842,1369,"REAC:R-HSA-5653656"
"T1","Astrocytes","8","blue",486,TRUE,2.83674434672937e-16,2924,440,152,0.345454545454545,0.0519835841313269,"GO:0031090","GO:CC","organelle membrane",16860,1045,"GO:0016020, GO:0043227"
"T1","Astrocytes","8","blue",486,TRUE,6.17717639055754e-16,160,431,32,0.074245939675174,0.2,"GO:0009060","GO:BP","aerobic respiration",16178,3273,"GO:0045333"
