"iteration","cell_type","subcluster","module","module_size","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"T3","Astrocytes","8","brown",559,TRUE,0.00375111555987917,15,385,6,0.0155844155844156,0.4,"REAC:R-HSA-9735871","REAC","SARS-CoV-1 targets host intracellular signalling and regulatory pathways",10842,2051,"REAC:R-HSA-9692914"
"T3","Astrocytes","8","brown",559,TRUE,0.00376615352253068,897,511,51,0.0998043052837573,0.0568561872909699,"GO:0030659","GO:CC","cytoplasmic vesicle membrane",16860,948,"GO:0012506, GO:0031410"
"T3","Astrocytes","8","brown",559,TRUE,0.00384436752869264,406,385,33,0.0857142857142857,0.0812807881773399,"REAC:R-HSA-68886","REAC","M Phase",10842,1305,"REAC:R-HSA-69278"
"T3","Astrocytes","8","brown",559,TRUE,0.00384674889962848,1196,511,63,0.123287671232877,0.0526755852842809,"GO:0015630","GO:CC","microtubule cytoskeleton",16860,708,"GO:0005856"
"T3","Astrocytes","8","brown",559,TRUE,0.00448584551059524,88,495,13,0.0262626262626263,0.147727272727273,"GO:0042773","GO:BP","ATP synthesis coupled electron transport",16178,10707,"GO:0006119, GO:0022904"
"T3","Astrocytes","8","brown",559,TRUE,0.00448584551059524,88,495,13,0.0262626262626263,0.147727272727273,"GO:0042775","GO:BP","mitochondrial ATP synthesis coupled electron transport",16178,10709,"GO:0042773"
"T3","Astrocytes","8","brown",559,TRUE,0.00461506205612575,49,511,9,0.0176125244618395,0.183673469387755,"GO:0044232","GO:CC","organelle membrane contact site",16860,2036,"GO:0043226, GO:0110165"
"T3","Astrocytes","8","brown",559,TRUE,0.00461539665551319,31,385,8,0.0207792207792208,0.258064516129032,"REAC:R-HSA-917977","REAC","Transferrin endocytosis and recycling",10842,2487,"REAC:R-HSA-917937"
"T3","Astrocytes","8","brown",559,TRUE,0.004765689559947,148,521,16,0.0307101727447217,0.108108108108108,"GO:0015399","GO:MF","primary active transmembrane transporter activity",17314,2522,"GO:0022804"
"T3","Astrocytes","8","brown",559,TRUE,0.00479543083589849,126,385,16,0.0415584415584416,0.126984126984127,"REAC:R-HSA-162909","REAC","Host Interactions of HIV factors",10842,1098,"REAC:R-HSA-162906"
"T3","Astrocytes","8","brown",559,TRUE,0.00491153796679379,385,495,30,0.0606060606060606,0.0779220779220779,"GO:0019693","GO:BP","ribose phosphate metabolic process",16178,6216,"GO:0006796, GO:0019637, GO:1901135"
"T3","Astrocytes","8","brown",559,TRUE,0.005108912472459,89,495,13,0.0262626262626263,0.146067415730337,"GO:0006754","GO:BP","ATP biosynthetic process",16178,2479,"GO:0009152, GO:0009206, GO:0046034"
"T3","Astrocytes","8","brown",559,TRUE,0.00515746065624855,9,495,5,0.0101010101010101,0.555555555555556,"GO:0098779","GO:BP","positive regulation of mitophagy in response to mitochondrial depolarization",16178,19435,"GO:0000423, GO:1904925"
"T3","Astrocytes","8","brown",559,TRUE,0.00528700519782308,113,385,15,0.038961038961039,0.132743362831858,"REAC:R-HSA-5610787","REAC","Hedgehog 'off' state",10842,1079,"REAC:R-HSA-5358351"
"T3","Astrocytes","8","brown",559,TRUE,0.00531172581101169,127,385,16,0.0415584415584416,0.125984251968504,"REAC:R-HSA-163200","REAC","Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.",10842,2015,"REAC:R-HSA-1428517"
"T3","Astrocytes","8","brown",559,TRUE,0.00540117315782267,756,495,47,0.094949494949495,0.0621693121693122,"GO:0070647","GO:BP","protein modification by small protein conjugation or removal",16178,16727,"GO:0043687"
"T3","Astrocytes","8","brown",559,TRUE,0.00586314070988816,118,521,14,0.0268714011516315,0.11864406779661,"GO:0015078","GO:MF","proton transmembrane transporter activity",17314,2297,"GO:0008324, GO:0022890"
"T3","Astrocytes","8","brown",559,TRUE,0.00594134882590737,805,495,49,0.098989898989899,0.0608695652173913,"GO:0043687","GO:BP","post-translational protein modification",16178,11196,"GO:0036211"
"T3","Astrocytes","8","brown",559,TRUE,0.00656290915431057,115,385,15,0.038961038961039,0.130434782608696,"REAC:R-HSA-9648025","REAC","EML4 and NUDC in mitotic spindle formation",10842,790,"REAC:R-HSA-68877"
"T3","Astrocytes","8","brown",559,TRUE,0.00658942484434965,91,495,13,0.0262626262626263,0.142857142857143,"GO:0009145","GO:BP","purine nucleoside triphosphate biosynthetic process",16178,3349,"GO:0009142, GO:0009144"
