"iteration","cell_type","subcluster","module","module_size","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"T1","Astrocytes_microglia","23","skyblue",283,TRUE,0.0203148491881716,1568,233,44,0.188841201716738,0.0280612244897959,"GO:0051649","GO:BP","establishment of localization in cell",16178,14317,"GO:0051234, GO:0051641"
"T1","Astrocytes_microglia","23","skyblue",283,TRUE,0.02322778927624,5466,233,110,0.472103004291845,0.0201244054152945,"GO:0016043","GO:BP","cellular component organization",16178,5137,"GO:0071840"
"T1","Astrocytes_microglia","23","skyblue",283,TRUE,0.0266604231326893,11912,236,192,0.813559322033898,0.0161182001343183,"GO:0043229","GO:CC","intracellular organelle",16860,1881,"GO:0005622, GO:0043226"
"T1","Astrocytes_microglia","23","skyblue",283,TRUE,0.0454641044999478,11983,236,192,0.813559322033898,0.0160226988233331,"GO:0043227","GO:CC","membrane-bounded organelle",16860,1879,"GO:0043226"
"T1","Astrocytes_microglia","23","skyblue",283,TRUE,0.0497742147562801,2,236,2,0.00847457627118644,1,"GO:0044609","GO:CC","DBIRD complex",16860,2087,"GO:0140535"
"T1","Astrocytes_microglia","23","skyblue3",583,TRUE,1.31998927361218e-18,5231,528,266,0.503787878787879,0.050850697763334,"GO:0005829","GO:CC","cytosol",16860,380,"GO:0005737, GO:0110165"
"T1","Astrocytes_microglia","23","skyblue3",583,TRUE,1.293935877248e-16,10755,528,429,0.8125,0.0398884239888424,"GO:0005737","GO:CC","cytoplasm",16860,309,"GO:0005622, GO:0110165"
"T1","Astrocytes_microglia","23","skyblue3",583,TRUE,2.05086394386952e-11,13667,528,488,0.924242424242424,0.0357064461842394,"GO:0005622","GO:CC","intracellular anatomical structure",16860,237,"GO:0110165"
"T1","Astrocytes_microglia","23","skyblue3",583,TRUE,1.24644403140639e-10,1724,508,111,0.218503937007874,0.064385150812065,"GO:0010033","GO:BP","response to organic substance",16178,3883,"GO:0042221"
"T1","Astrocytes_microglia","23","skyblue3",583,TRUE,1.35527429756287e-09,1693,528,105,0.198863636363636,0.0620200826934436,"GO:0098588","GO:CC","bounding membrane of organelle",16860,3216,"GO:0031090"
"T1","Astrocytes_microglia","23","skyblue3",583,TRUE,1.64712626392334e-09,9578,508,376,0.740157480314961,0.0392566297765713,"GO:0050794","GO:BP","regulation of cellular process",16178,13691,"GO:0009987, GO:0050789"
"T1","Astrocytes_microglia","23","skyblue3",583,TRUE,3.79575780774504e-08,1368,508,89,0.175196850393701,0.0650584795321637,"GO:0071310","GO:BP","cellular response to organic substance",16178,17066,"GO:0010033, GO:0070887"
"T1","Astrocytes_microglia","23","skyblue3",583,TRUE,4.52647560711794e-08,10492,508,397,0.781496062992126,0.0378383530308807,"GO:0065007","GO:BP","biological regulation",16178,16384,"GO:0008150"
"T1","Astrocytes_microglia","23","skyblue3",583,TRUE,5.34297687058033e-08,4752,508,218,0.429133858267717,0.0458754208754209,"GO:0048522","GO:BP","positive regulation of cellular process",16178,13230,"GO:0009987, GO:0048518, GO:0050794"
"T1","Astrocytes_microglia","23","skyblue3",583,TRUE,9.04674804788005e-08,1802,535,104,0.194392523364486,0.0577136514983352,"GO:0019899","GO:MF","enzyme binding",17314,3728,"GO:0005515"
"T1","Astrocytes_microglia","23","skyblue3",583,TRUE,9.58565097604871e-08,1624,508,99,0.19488188976378,0.0609605911330049,"GO:0071702","GO:BP","organic substance transport",16178,17372,"GO:0006810"
"T1","Astrocytes_microglia","23","skyblue3",583,TRUE,1.88947840352191e-07,5250,508,233,0.458661417322835,0.0443809523809524,"GO:0048518","GO:BP","positive regulation of biological process",16178,13226,"GO:0008150, GO:0050789"
"T1","Astrocytes_microglia","23","skyblue3",583,TRUE,1.90046760616342e-07,2130,508,119,0.234251968503937,0.055868544600939,"GO:0065008","GO:BP","regulation of biological quality",16178,16385,"GO:0065007"
"T1","Astrocytes_microglia","23","skyblue3",583,TRUE,2.16387880570789e-07,3566,528,171,0.323863636363636,0.0479528883903533,"GO:0031982","GO:CC","vesicle",16860,1228,"GO:0043227"
