"iteration","cell_type","subcluster","module","module_size","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"T2","T_cells","18","black",383,TRUE,9.59551842490865e-07,10872,342,270,0.789473684210526,0.0248344370860927,"GO:0043231","GO:CC","intracellular membrane-bounded organelle",16860,1883,"GO:0043227, GO:0043229"
"T2","T_cells","18","black",383,TRUE,2.50376144277723e-06,4420,332,141,0.424698795180723,0.0319004524886878,"GO:0048519","GO:BP","negative regulation of biological process",16178,13227,"GO:0008150, GO:0050789"
"T2","T_cells","18","black",383,TRUE,4.91912085669853e-06,13667,342,314,0.91812865497076,0.0229750493890393,"GO:0005622","GO:CC","intracellular anatomical structure",16860,237,"GO:0110165"
"T2","T_cells","18","black",383,TRUE,5.31721038947476e-06,11983,342,287,0.839181286549708,0.0239505966786281,"GO:0043227","GO:CC","membrane-bounded organelle",16860,1879,"GO:0043226"
"T2","T_cells","18","black",383,TRUE,2.05603831975472e-05,11912,342,284,0.830409356725146,0.0238415043653459,"GO:0043229","GO:CC","intracellular organelle",16860,1881,"GO:0005622, GO:0043226"
"T2","T_cells","18","black",383,TRUE,5.77750876322986e-05,8651,332,226,0.680722891566265,0.0261241474973991,"GO:0044237","GO:BP","cellular metabolic process",16178,11299,"GO:0008152, GO:0009987"
"T2","T_cells","18","black",383,TRUE,6.34583333317115e-05,9757,332,247,0.743975903614458,0.0253151583478528,"GO:0008152","GO:BP","metabolic process",16178,3159,"GO:0008150"
"T2","T_cells","18","black",383,TRUE,6.88179498819747e-05,5757,332,166,0.5,0.0288344623936078,"GO:0019222","GO:BP","regulation of metabolic process",16178,5789,"GO:0008152, GO:0050789"
"T2","T_cells","18","black",383,TRUE,7.7592006984506e-05,37,332,9,0.0271084337349398,0.243243243243243,"GO:0030865","GO:BP","cortical cytoskeleton organization",16178,7183,"GO:0007010"
"T2","T_cells","18","black",383,TRUE,0.00010225779418111,2052,251,81,0.322709163346614,0.0394736842105263,"REAC:R-HSA-168256","REAC","Immune System",10842,1136,"REAC:0000000"
"T2","T_cells","18","black",383,TRUE,0.00011220837465969,28,332,8,0.0240963855421687,0.285714285714286,"GO:0030866","GO:BP","cortical actin cytoskeleton organization",16178,7184,"GO:0030036, GO:0030865"
"T2","T_cells","18","black",383,TRUE,0.00014861601894946,5313,332,155,0.466867469879518,0.0291737248258987,"GO:0031323","GO:BP","regulation of cellular metabolic process",16178,7372,"GO:0019222, GO:0044237, GO:0050794"
"T2","T_cells","18","black",383,TRUE,0.00015813539964395,1513,332,62,0.186746987951807,0.0409781890284204,"GO:0141124","GO:BP","intracellular signaling cassette",16178,20599,"GO:0035556"
"T2","T_cells","18","black",383,TRUE,0.00020360278949773,2537,332,89,0.268072289156627,0.0350808040993299,"GO:0009966","GO:BP","regulation of signal transduction",16178,3842,"GO:0007165, GO:0010646, GO:0023051, GO:0048583"
"T2","T_cells","18","black",383,TRUE,0.00024084736495298,4113,332,127,0.382530120481928,0.0308777048383175,"GO:0048523","GO:BP","negative regulation of cellular process",16178,13231,"GO:0009987, GO:0048519, GO:0050794"
"T2","T_cells","18","black",383,TRUE,0.00033578742425995,8,332,5,0.0150602409638554,0.625,"GO:0060368","GO:BP","regulation of Fc receptor mediated stimulatory signaling pathway",16178,15044,"GO:0002431, GO:0009966, GO:0050776"
"T2","T_cells","18","black",383,TRUE,0.00034145911508202,12730,342,294,0.859649122807018,0.023095051060487,"GO:0043226","GO:CC","organelle",16860,1878,"GO:0110165"
"T2","T_cells","18","black",383,TRUE,0.00035073631487995,3336,332,108,0.325301204819277,0.0323741007194245,"GO:0048583","GO:BP","regulation of response to stimulus",16178,13279,"GO:0050789, GO:0050896"
"T2","T_cells","18","black",383,TRUE,0.00036927989062975,2769,332,94,0.283132530120482,0.0339472733838931,"GO:0031325","GO:BP","positive regulation of cellular metabolic process",16178,7374,"GO:0009893, GO:0031323, GO:0044237, GO:0048522"
"T2","T_cells","18","black",383,TRUE,0.00038997533535668,5250,332,152,0.457831325301205,0.028952380952381,"GO:0048518","GO:BP","positive regulation of biological process",16178,13226,"GO:0008150, GO:0050789"
"T2","T_cells","18","black",383,TRUE,0.00048185486627275,3109,332,102,0.307228915662651,0.0328079768414281,"GO:0009893","GO:BP","positive regulation of metabolic process",16178,3791,"GO:0008152, GO:0019222, GO:0048518"
"T2","T_cells","18","black",383,TRUE,0.00058599123676248,1498,332,60,0.180722891566265,0.0400534045393858,"GO:1902531","GO:BP","regulation of intracellular signal transduction",16178,22895,"GO:0009966, GO:0035556"
"T2","T_cells","18","black",383,TRUE,0.00063002986805478,2841,332,95,0.286144578313253,0.0334389299542415,"GO:0010604","GO:BP","positive regulation of macromolecule metabolic process",16178,4301,"GO:0009893, GO:0043170, GO:0060255"
"T2","T_cells","18","black",383,TRUE,0.00071666378024506,5297,332,152,0.457831325301205,0.0286954880120823,"GO:0060255","GO:BP","regulation of macromolecule metabolic process",16178,14938,"GO:0019222, GO:0043170"
"T2","T_cells","18","black",383,TRUE,0.00083724471746049,10131,332,250,0.753012048192771,0.0246767347744546,"GO:0050789","GO:BP","regulation of biological process",16178,13687,"GO:0008150, GO:0065007"
"T2","T_cells","18","black",383,TRUE,0.00095580613886951,860,349,39,0.111747851002865,0.0453488372093023,"GO:0030674","GO:MF","protein-macromolecule adaptor activity",17314,3987,"GO:0060090"
"T2","T_cells","18","black",383,TRUE,0.00096918457146526,1168,332,50,0.150602409638554,0.0428082191780822,"GO:0009057","GO:BP","macromolecule catabolic process",16178,3270,"GO:0043170, GO:1901575"
"T2","T_cells","18","black",383,TRUE,0.00100376747461547,742,332,37,0.11144578313253,0.0498652291105121,"GO:0050776","GO:BP","regulation of immune response",16178,13679,"GO:0002682, GO:0006955, GO:0048583"
"T2","T_cells","18","black",383,TRUE,0.00107253051835222,1782,332,67,0.201807228915663,0.0375982042648709,"GO:0051246","GO:BP","regulation of protein metabolic process",16178,14041,"GO:0019538, GO:0051171, GO:0060255, GO:0080090"
"T2","T_cells","18","black",383,TRUE,0.00116730362159383,4752,332,139,0.418674698795181,0.0292508417508417,"GO:0048522","GO:BP","positive regulation of cellular process",16178,13230,"GO:0009987, GO:0048518, GO:0050794"
"T2","T_cells","18","black",383,TRUE,0.00128413942556156,10492,332,256,0.771084337349398,0.024399542508578,"GO:0065007","GO:BP","biological regulation",16178,16384,"GO:0008150"
"T2","T_cells","18","black",383,TRUE,0.00129344267290938,2210,332,78,0.234939759036145,0.0352941176470588,"GO:0035556","GO:BP","intracellular signal transduction",16178,9405,"GO:0007165"
"T2","T_cells","18","black",383,TRUE,0.00130897905626952,1007,349,43,0.123209169054441,0.0427010923535253,"GO:0060090","GO:MF","molecular adaptor activity",17314,8382,"GO:0003674"
"T2","T_cells","18","black",383,TRUE,0.00137205919851618,13965,349,313,0.896848137535817,0.0224131757966344,"GO:0005515","GO:MF","protein binding",17314,1492,"GO:0005488"
"T2","T_cells","18","black",383,TRUE,0.00161740038414838,4911,332,142,0.427710843373494,0.0289146813276318,"GO:0080090","GO:BP","regulation of primary metabolic process",16178,18320,"GO:0019222, GO:0044238"
"T2","T_cells","18","black",383,TRUE,0.00192856936773764,4791,332,139,0.418674698795181,0.02901273220622,"GO:0051171","GO:BP","regulation of nitrogen compound metabolic process",16178,13995,"GO:0006807, GO:0019222"
"T2","T_cells","18","black",383,TRUE,0.00205567553272865,1928,332,70,0.210843373493976,0.0363070539419087,"GO:0048584","GO:BP","positive regulation of response to stimulus",16178,13280,"GO:0048518, GO:0048583, GO:0050896"
"T2","T_cells","18","black",383,TRUE,0.00245601956617096,2804,332,92,0.27710843373494,0.0328102710413695,"GO:0023051","GO:BP","regulation of signaling",16178,6876,"GO:0023052, GO:0050789"
