"iteration","cell_type","subcluster","module","module_size","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"T4","Astrocytes","8","black",524,TRUE,2.5466705889391e-07,4410,422,167,0.395734597156398,0.0378684807256236,"GO:0031981","GO:CC","nuclear lumen",16860,1227,"GO:0005634, GO:0070013"
"T4","Astrocytes","8","black",524,TRUE,4.28112361949154e-07,13667,422,386,0.914691943127962,0.0282432135801566,"GO:0005622","GO:CC","intracellular anatomical structure",16860,237,"GO:0110165"
"T4","Astrocytes","8","black",524,TRUE,6.60381014091114e-07,4111,422,157,0.372037914691943,0.038190221357334,"GO:0005654","GO:CC","nucleoplasm",16860,252,"GO:0031981, GO:0110165"
"T4","Astrocytes","8","black",524,TRUE,1.6708515535901e-06,6709,422,226,0.535545023696682,0.0336860933074974,"GO:0005634","GO:CC","nucleus",16860,243,"GO:0043231"
"T4","Astrocytes","8","black",524,TRUE,7.20284933530952e-06,11912,422,347,0.822274881516588,0.0291302887844191,"GO:0043229","GO:CC","intracellular organelle",16860,1881,"GO:0005622, GO:0043226"
"T4","Astrocytes","8","black",524,TRUE,7.82649382045218e-06,10872,422,324,0.767772511848341,0.0298013245033113,"GO:0043231","GO:CC","intracellular membrane-bounded organelle",16860,1883,"GO:0043227, GO:0043229"
"T4","Astrocytes","8","black",524,TRUE,1.05734378580404e-05,5468,422,190,0.450236966824645,0.03474762253109,"GO:0043233","GO:CC","organelle lumen",16860,1885,"GO:0031974, GO:0043226"
"T4","Astrocytes","8","black",524,TRUE,1.05734378580404e-05,5468,422,190,0.450236966824645,0.03474762253109,"GO:0031974","GO:CC","membrane-enclosed lumen",16860,1221,"GO:0110165"
"T4","Astrocytes","8","black",524,TRUE,1.05734378580404e-05,5468,422,190,0.450236966824645,0.03474762253109,"GO:0070013","GO:CC","intracellular organelle lumen",16860,2399,"GO:0043229, GO:0043233"
"T4","Astrocytes","8","black",524,TRUE,3.49537680044501e-05,12730,422,362,0.85781990521327,0.0284367635506677,"GO:0043226","GO:CC","organelle",16860,1878,"GO:0110165"
"T4","Astrocytes","8","black",524,TRUE,0.00013430867133135,11983,422,344,0.815165876777251,0.0287073353918051,"GO:0043227","GO:CC","membrane-bounded organelle",16860,1879,"GO:0043226"
"T4","Astrocytes","8","black",524,TRUE,0.00041387705069942,100,422,13,0.0308056872037915,0.13,"GO:0031248","GO:CC","protein acetyltransferase complex",16860,1071,"GO:0140535, GO:1902493"
"T4","Astrocytes","8","black",524,TRUE,0.00041387705069942,100,422,13,0.0308056872037915,0.13,"GO:1902493","GO:CC","acetyltransferase complex",16860,3634,"GO:1990234"
"T4","Astrocytes","8","black",524,TRUE,0.00044697941230503,842,422,45,0.106635071090047,0.0534441805225653,"GO:1990234","GO:CC","transferase complex",16860,3836,"GO:1902494"
"T4","Astrocytes","8","black",524,TRUE,0.00148400224138371,1658,422,71,0.16824644549763,0.0428226779252111,"GO:1902494","GO:CC","catalytic complex",16860,3635,"GO:0032991"
"T4","Astrocytes","8","black",524,TRUE,0.00188524681775285,1636,401,72,0.179551122194514,0.0440097799511002,"GO:0045935","GO:BP","positive regulation of nucleobase-containing compound metabolic process",16178,12127,"GO:0006139, GO:0019219, GO:0031325, GO:0051173"
"T4","Astrocytes","8","black",524,TRUE,0.0019908320253796,617,422,35,0.0829383886255924,0.0567260940032415,"GO:0005813","GO:CC","centrosome",16860,366,"GO:0005815"
"T4","Astrocytes","8","black",524,TRUE,0.00682202261858234,93,422,11,0.0260663507109005,0.118279569892473,"GO:0070603","GO:CC","SWI/SNF superfamily-type complex",16860,2522,"GO:0000785, GO:0140513, GO:1904949"
"T4","Astrocytes","8","black",524,TRUE,0.0108236933895112,116,204,11,0.053921568627451,0.0948275862068965,"KEGG:03082","KEGG","ATP-dependent chromatin remodeling",8484,219,"KEGG:00000"
"T4","Astrocytes","8","black",524,TRUE,0.0123052920152343,1199,422,53,0.125592417061611,0.0442035029190992,"GO:0140513","GO:CC","nuclear protein-containing complex",16860,3557,"GO:0005634, GO:0032991"
"T4","Astrocytes","8","black",524,TRUE,0.015185361784999,1449,401,63,0.1571072319202,0.0434782608695652,"GO:0051254","GO:BP","positive regulation of RNA metabolic process",16178,14049,"GO:0010604, GO:0016070, GO:0045935, GO:0051252"
"T4","Astrocytes","8","black",524,TRUE,0.0181441291468037,742,422,37,0.0876777251184834,0.0498652291105121,"GO:0005815","GO:CC","microtubule organizing center",16860,368,"GO:0015630, GO:0110165"
"T4","Astrocytes","8","black",524,TRUE,0.0211014204974836,4505,401,151,0.376558603491272,0.0335183129855716,"GO:0090304","GO:BP","nucleic acid metabolic process",16178,18717,"GO:0006139, GO:0043170"
"T4","Astrocytes","8","black",524,TRUE,0.0224180001554525,457,401,28,0.0698254364089776,0.0612691466083151,"GO:0051052","GO:BP","regulation of DNA metabolic process",16178,13901,"GO:0006259, GO:0019219, GO:0060255"
"T4","Astrocytes","8","black",524,TRUE,0.0277430033792912,90,422,10,0.023696682464455,0.111111111111111,"GO:0000123","GO:CC","histone acetyltransferase complex",16860,9,"GO:0000785, GO:0031248"
"T4","Astrocytes","8","black",524,TRUE,0.0279239177264741,418,434,25,0.0576036866359447,0.0598086124401914,"GO:0003682","GO:MF","chromatin binding",17314,328,"GO:0044877"
"T4","Astrocytes","8","black",524,TRUE,0.0453257360044884,861,401,42,0.104738154613466,0.0487804878048781,"GO:0006259","GO:BP","DNA metabolic process",16178,2097,"GO:0090304"
"T4","Astrocytes","8","blue",638,TRUE,3.64096509831193e-10,5466,544,265,0.487132352941176,0.048481522136846,"GO:0016043","GO:BP","cellular component organization",16178,5137,"GO:0071840"
"T4","Astrocytes","8","blue",638,TRUE,1.79329803475028e-09,5646,544,269,0.494485294117647,0.0476443499822883,"GO:0071840","GO:BP","cellular component organization or biogenesis",16178,17446,"GO:0009987"
"T4","Astrocytes","8","blue",638,TRUE,1.36718782070159e-07,184,382,27,0.0706806282722513,0.146739130434783,"REAC:R-HSA-9013149","REAC","RAC1 GTPase cycle",10842,1785,"REAC:R-HSA-9012999"
"T4","Astrocytes","8","blue",638,TRUE,1.65014239776202e-07,455,544,45,0.0827205882352941,0.0989010989010989,"GO:0120039","GO:BP","plasma membrane bounded cell projection morphogenesis",16178,20036,"GO:0048858"
"T4","Astrocytes","8","blue",638,TRUE,2.10963933297483e-07,545,544,50,0.0919117647058824,0.0917431192660551,"GO:0032989","GO:BP","cellular anatomical entity morphogenesis",16178,8249,"GO:0009653"
"T4","Astrocytes","8","blue",638,TRUE,2.20348510297237e-07,459,544,45,0.0827205882352941,0.0980392156862745,"GO:0048858","GO:BP","cell projection morphogenesis",16178,13527,"GO:0000902, GO:0030030, GO:0032989"
"T4","Astrocytes","8","blue",638,TRUE,3.06218238210819e-07,449,382,44,0.115183246073298,0.0979955456570156,"REAC:R-HSA-9012999","REAC","RHO GTPase cycle",10842,1796,"REAC:R-HSA-194315"
"T4","Astrocytes","8","blue",638,TRUE,3.73872238604436e-07,682,544,57,0.104779411764706,0.0835777126099707,"GO:0031175","GO:BP","neuron projection development",16178,7333,"GO:0048666, GO:0120036"
"T4","Astrocytes","8","blue",638,TRUE,5.04778819793576e-07,650,544,55,0.101102941176471,0.0846153846153846,"GO:0000902","GO:BP","cell morphogenesis",16178,242,"GO:0009653"
"T4","Astrocytes","8","blue",638,TRUE,5.37115615777622e-07,13667,565,509,0.900884955752212,0.0372429940733153,"GO:0005622","GO:CC","intracellular anatomical structure",16860,237,"GO:0110165"
"T4","Astrocytes","8","blue",638,TRUE,9.3031119970594e-07,756,544,60,0.110294117647059,0.0793650793650794,"GO:0048666","GO:BP","neuron development",16178,13349,"GO:0030182, GO:0048468"
"T4","Astrocytes","8","blue",638,TRUE,1.04712059426251e-06,1185,544,81,0.148897058823529,0.0683544303797468,"GO:0120036","GO:BP","plasma membrane bounded cell projection organization",16178,20035,"GO:0030030"
"T4","Astrocytes","8","blue",638,TRUE,1.97343401753768e-06,1201,544,81,0.148897058823529,0.06744379683597,"GO:0030030","GO:BP","cell projection organization",16178,6891,"GO:0016043"
"T4","Astrocytes","8","blue",638,TRUE,2.1304774171447e-06,440,544,42,0.0772058823529412,0.0954545454545455,"GO:0048812","GO:BP","neuron projection morphogenesis",16178,13483,"GO:0031175, GO:0120039"
"T4","Astrocytes","8","blue",638,TRUE,1.00917445572975e-05,3201,544,163,0.299632352941176,0.0509215870040612,"GO:0006996","GO:BP","organelle organization",16178,2642,"GO:0016043"
"T4","Astrocytes","8","blue",638,TRUE,2.79608434888936e-05,930,544,65,0.119485294117647,0.0698924731182796,"GO:0030182","GO:BP","neuron differentiation",16178,6936,"GO:0030154, GO:0048699"
"T4","Astrocytes","8","blue",638,TRUE,3.32847207671684e-05,10755,565,418,0.739823008849558,0.0388656438865644,"GO:0005737","GO:CC","cytoplasm",16860,309,"GO:0005622, GO:0110165"
"T4","Astrocytes","8","blue",638,TRUE,3.57251658976726e-05,1192,544,77,0.141544117647059,0.0645973154362416,"GO:0046907","GO:BP","intracellular transport",16178,12847,"GO:0006810, GO:0051641, GO:0051649"
"T4","Astrocytes","8","blue",638,TRUE,5.35808304002673e-05,2419,544,129,0.237132352941176,0.0533278214138074,"GO:0036211","GO:BP","protein modification process",16178,9821,"GO:0019538, GO:0043412"
"T4","Astrocytes","8","blue",638,TRUE,9.6054237688852e-05,717,382,53,0.138743455497382,0.0739191073919107,"REAC:R-HSA-9716542","REAC","Signaling by Rho GTPases, Miro GTPases and RHOBTB3",10842,2235,"REAC:R-HSA-162582"
"T4","Astrocytes","8","blue",638,TRUE,0.00010801823779026,985,544,66,0.121323529411765,0.067005076142132,"GO:0048699","GO:BP","generation of neurons",16178,13381,"GO:0022008"
"T4","Astrocytes","8","blue",638,TRUE,0.00011921343505985,702,382,52,0.136125654450262,0.0740740740740741,"REAC:R-HSA-194315","REAC","Signaling by Rho GTPases",10842,2234,"REAC:R-HSA-9716542"
"T4","Astrocytes","8","blue",638,TRUE,0.00012331133153309,379,544,35,0.0643382352941176,0.0923482849604222,"GO:0048667","GO:BP","cell morphogenesis involved in neuron differentiation",16178,13350,"GO:0000902, GO:0048666"
"T4","Astrocytes","8","blue",638,TRUE,0.00012786621442254,1568,544,92,0.169117647058824,0.0586734693877551,"GO:0051649","GO:BP","establishment of localization in cell",16178,14317,"GO:0051234, GO:0051641"
"T4","Astrocytes","8","blue",638,TRUE,0.00015856195671343,5231,565,230,0.407079646017699,0.0439686484419805,"GO:0005829","GO:CC","cytosol",16860,380,"GO:0005737, GO:0110165"
"T4","Astrocytes","8","blue",638,TRUE,0.00018062432466001,2619,544,135,0.248161764705882,0.0515463917525773,"GO:0043412","GO:BP","macromolecule modification",16178,11034,"GO:0043170"
"T4","Astrocytes","8","blue",638,TRUE,0.00023673158938333,2069,574,109,0.189895470383275,0.0526824552924118,"GO:0140096","GO:MF","catalytic activity, acting on a protein",17314,10409,"GO:0003824"
"T4","Astrocytes","8","blue",638,TRUE,0.00040382600963618,1988,544,108,0.198529411764706,0.0543259557344064,"GO:0051128","GO:BP","regulation of cellular component organization",16178,13953,"GO:0016043, GO:0050794"
"T4","Astrocytes","8","blue",638,TRUE,0.0006052149051094,1120,544,70,0.128676470588235,0.0625,"GO:0022008","GO:BP","neurogenesis",16178,6799,"GO:0007399, GO:0030154"
"T4","Astrocytes","8","blue",638,TRUE,0.00060657751681702,756,544,53,0.0974264705882353,0.0701058201058201,"GO:0070647","GO:BP","protein modification by small protein conjugation or removal",16178,16727,"GO:0043687"
